event_id,set_index,raw_set_cube_center_6dof,prior_translation_m,prior_rotation_rotvec,estimated_cube_translation_m,estimated_cube_rotation_rotvec,delta_trans_mm,delta_rot_deg,possible_unit_warning,possible_rotation_warning,set_used_for_anchor
0,0,"[-35.604, 353.265, -18.003, -19.687746573167296, -0.35236904400545627, 179.55465975368764]","[-0.035604, 0.353265, -0.018003]","[3.0867434307783608, -0.5356456343894268, 0.00741022454820315]","[-0.030817088797951864, 0.34917305835843643, -0.017211492995490338]","[0.010301073497657062, -0.010170449085114157, -1.916884406622582]",6.34704565860712,179.35342466815237,,rotation prior off by 179deg (>45),True
1,0,"[-35.604, 353.265, -18.003, -19.687746573167296, -0.35236904400545627, 179.55465975368764]","[-0.035604, 0.353265, -0.018003]","[3.0867434307783608, -0.5356456343894268, 0.00741022454820315]","[-0.03057832862549037, 0.3492904719440973, -0.017231153829334378]","[0.012040677064812792, -0.011283235846419559, -1.9160657800768808]",6.4536805423645065,179.25995273959555,,rotation prior off by 179deg (>45),True
2,0,"[-35.604, 353.265, -18.003, -19.687746573167296, -0.35236904400545627, 179.55465975368764]","[-0.035604, 0.353265, -0.018003]","[3.0867434307783608, -0.5356456343894268, 0.00741022454820315]","[-0.030610302936471434, 0.34918071346393487, -0.01715579022203262]","[0.007733720849587448, -0.010995264407553029, -1.9181256002582545]",6.506625183523349,179.47071194331917,,rotation prior off by 179deg (>45),True
3,0,"[-35.604, 353.265, -18.003, -19.687746573167296, -0.35236904400545627, 179.55465975368764]","[-0.035604, 0.353265, -0.018003]","[3.0867434307783608, -0.5356456343894268, 0.00741022454820315]","[-0.031162162869239285, 0.3489808944978094, -0.016972578795135015]","[0.011832155890763873, -0.00977194487416206, -1.915471484562887]",6.256616090950419,179.2824098157844,,rotation prior off by 179deg (>45),True
4,0,"[-35.604, 353.265, -18.003, -19.687746573167296, -0.35236904400545627, 179.55465975368764]","[-0.035604, 0.353265, -0.018003]","[3.0867434307783608, -0.5356456343894268, 0.00741022454820315]","[-0.03088213525121858, 0.3488871713994302, -0.01718360844602196]","[0.001813124041649196, -0.008943306304467494, -1.9186497993465763]",6.490977775380371,179.7733215571368,,rotation prior off by 180deg (>45),True
5,1,"[-35.5, 443.1, -18.0, -24.7, 0.4, 179.6]","[-0.0355, 0.44310000000000005, -0.018]","[3.06367242106845, -0.6707506860617989, -0.013035750498106133]","[-0.030006049876758423, 0.4368631647359742, -0.019999330551817546]","[-0.20666959648451239, -0.14831432171798778, -2.3194390679899786]",8.548621217640493,172.8669913482634,,rotation prior off by 173deg (>45),True
6,1,"[-35.5, 443.1, -18.0, -24.7, 0.4, 179.6]","[-0.0355, 0.44310000000000005, -0.018]","[3.06367242106845, -0.6707506860617989, -0.013035750498106133]","[-0.03033883409010446, 0.43736273358708766, -0.019835214139446597]","[-0.2154914807873567, -0.15490133115537114, -2.3275944697501263]",7.93233070287825,172.5562600126743,,rotation prior off by 173deg (>45),True
7,1,"[-35.5, 443.1, -18.0, -24.7, 0.4, 179.6]","[-0.0355, 0.44310000000000005, -0.018]","[3.06367242106845, -0.6707506860617989, -0.013035750498106133]","[-0.029953389794248275, 0.4368045375537552, -0.01992269002051994]","[-0.22221706282935155, -0.15354886613856544, -2.3350900534528556]",8.607814420724653,172.26036030391802,,rotation prior off by 172deg (>45),True
8,1,"[-35.5, 443.1, -18.0, -24.7, 0.4, 179.6]","[-0.0355, 0.44310000000000005, -0.018]","[3.06367242106845, -0.6707506860617989, -0.013035750498106133]","[-0.030662123244406148, 0.4373486790970483, -0.019986733314306573]","[-0.21587189548740898, -0.15533352953740437, -2.3274926844902053]",7.773664058423211,172.5435775134946,,rotation prior off by 173deg (>45),True
9,1,"[-35.5, 443.1, -18.0, -24.7, 0.4, 179.6]","[-0.0355, 0.44310000000000005, -0.018]","[3.06367242106845, -0.6707506860617989, -0.013035750498106133]","[-0.030279963277429767, 0.43666356696622666, -0.02014495872000005]","[-0.22386814912252279, -0.15488715308685952, -2.3385957349668542]",8.560216206015788,172.20707897194006,,rotation prior off by 172deg (>45),True
